word,dimension,valence,source_repo,source_file
secure,warmth,1,fraser,BWS_annotations.csv
self-confident,warmth,1,fraser,BWS_annotations.csv
self-reliant,warmth,1,fraser,BWS_annotations.csv
selfish,warmth,1,fraser,BWS_annotations.csv
selfless,warmth,1,fraser,BWS_annotations.csv
sensitive,warmth,1,fraser,BWS_annotations.csv
sentimental,warmth,1,fraser,BWS_annotations.csv
sexist,warmth,1,fraser,BWS_annotations.csv
shrewd,warmth,1,fraser,BWS_annotations.csv
shy,warmth,1,fraser,BWS_annotations.csv
sincere,warmth,1,fraser,BWS_annotations.csv
skilled,warmth,1,fraser,BWS_annotations.csv
skillful,warmth,1,fraser,BWS_annotations.csv
smart,warmth,1,fraser,BWS_annotations.csv
sociable,warmth,1,fraser,BWS_annotations.csv
social,warmth,1,fraser,BWS_annotations.csv
softhearted,warmth,1,fraser,BWS_annotations.csv
spiritless,warmth,1,fraser,BWS_annotations.csv
sporadic,warmth,1,fraser,BWS_annotations.csv
stingy,warmth,1,fraser,BWS_annotations.csv
stupid,warmth,1,fraser,BWS_annotations.csv
supportive,warmth,1,fraser,BWS_annotations.csv
sympathetic,warmth,1,fraser,BWS_annotations.csv
tender,warmth,1,fraser,BWS_annotations.csv
thoughtful,warmth,1,fraser,BWS_annotations.csv
timid,warmth,1,fraser,BWS_annotations.csv
tolerant,warmth,1,fraser,BWS_annotations.csv
treacherous,warmth,1,fraser,BWS_annotations.csv
trustworthy,warmth,1,fraser,BWS_annotations.csv
truthful,warmth,1,fraser,BWS_annotations.csv
unable,warmth,1,fraser,BWS_annotations.csv
unadventurous,warmth,1,fraser,BWS_annotations.csv
unaffectionate,warmth,1,fraser,BWS_annotations.csv
unambitious,warmth,1,fraser,BWS_annotations.csv
unassertive,warmth,1,fraser,BWS_annotations.csv
uncaring,warmth,1,fraser,BWS_annotations.csv
uncompetitive,warmth,1,fraser,BWS_annotations.csv
uncooperative,warmth,1,fraser,BWS_annotations.csv
uncreative,warmth,1,fraser,BWS_annotations.csv
undedicated,warmth,1,fraser,BWS_annotations.csv
understanding,warmth,1,fraser,BWS_annotations.csv
undiscriminating,warmth,1,fraser,BWS_annotations.csv
